ParticipantID,V6,V8,V9,V10,Consent,ConditionACTIVE1PASSIVE2,ingVH_I1,ingVH_C1,ingVH_I2,ingVH_C2,ingVS_I1,ingVS_C1,ingVS_I2,ingVS_C2,ingPH_I1,ingPH_C1,ingPH_I2,ingPH_C2,ingPS_I1,ingPS_C1,ingPS_I2,ingPS_C2,edVH_I1,edVH_C1,edVH_I2,edVH_C2,edVS_I1,edVS_C1,edVS_I2,edVS_C2,edPH_I1,edPH_C1,edPH_I2,edPH_C2,edPS_I1,edPS_C1,edPS_I2,edPS_C2,EDU,EDUOTHER,ENGNATIVE,ENGYEARS,POL,REL,AGE_1_TEXT,ETHNIC,GENDER,COMMENTS,H_I_V,H_C_V,S_I_V,S_C_V,H_I_P,H_C_P,S_I_P,S_C_P,INJ_V,INJ_P,CON_P,CON_V,CON,INJ
R_1cTIt1MeoMVK2Kc,75.140.78.44,7/1/2016 15:08:30,7/1/2016 15:10:47,1,1,2, , , , , , , , , , , , , , , , ,7,3,7,2,4,5,6,4,1,3,2,6,2,5, , ,4, ,1, ,3,3,25,Asian,2, ,7,2.5,5,4.5,1.5,4.5,2,5,6,1.75,4.75,3.5,4.125,3.875
R_2dDNMNMwMcqJF58,68.36.96.80,7/1/2016 16:20:25,7/1/2016 16:22:07,1,1,2, , , , , , , , , , , , , , , , ,2,5,4,5,4,4,6,6,4,4, , ,5,7,4,6,5, ,1, ,4,5,25, ,1,no,3,5,5,5,4,4,4.5,6.5,4,4.25,5.25,5,5.125,4.125
R_22XLQEMcaWN7R9k,108.17.8.121,7/1/2016 15:42:00,7/1/2016 15:43:11,1,1,2, , , , , , , , , , , , , , , , ,6,5,7,5,5,7,4,7,6,5,7,6,5,7, , ,4, ,1, ,5,1,34,white,1, ,6.5,5,4.5,7,6.5,5.5,5,7,5.5,5.75,6.25,6,6.125,5.625
R_w6iATI2UvjCMo2R,73.247.192.128,7/1/2016 14:58:59,7/1/2016 15:00:41,1,1,2, , , , , , , , , , , , , , , , ,7,7,7,7,5,5,7,7,4,7,5,7, , ,5,7,3, ,1, ,4,7,37,WHITE,2, ,7,7,6,6,4.5,7,5,7,6.5,4.75,7,6.5,6.75,5.625
R_W2QVIaa5u4tx4Jj,172.74.79.16,7/1/2016 15:34:12,7/1/2016 15:35:52,1,1,2, , , , , , , , , , , , , , , , ,6,2,7,2,3,6,3,6,0,7,0,6,0,7,0,7,3, ,1, ,4,5,21,white,1, ,6.5,2,3,6,0,6.5,0,7,4.75,0,6.75,4,5.375,2.375
R_VQ4adKnG4nYW2dj,75.133.151.183,7/1/2016 17:41:44,7/1/2016 17:43:47,1,1,2, , , , , , , , , , , , , , , , ,6,2,7,0,6,6,5,4,0,7, , ,0,7,0,7,3, ,1, ,6,1,31,White,2,Thank you,6.5,1,5.5,5,0,7,0,7,6,0,7,3,5,3
R_VJ7TLjMg1KrgHVD,72.239.22.187,7/1/2016 15:57:37,7/1/2016 15:59:21,1,1,2, , , , , , , , , , , , , , , , ,7,0,7,0,6,0,7,0,0,7,0,7,0,7,0,7,5, ,1, ,4,1,63,W,1, ,7,0,6.5,0,0,7,0,7,6.75,0,7,0,3.5,3.375
R_0I0SZ0kCjCan4Db,162.195.226.150,7/1/2016 15:13:32,7/1/2016 15:26:23,1,1,2, , , , , , , , , , , , , , , , ,4,1,6,4,2,5,6,6,1,6, , ,3,7,1,7,2, ,1, ,5,2,47,caucasian,1, ,5,2.5,4,5.5,1,6,2,7,4.5,1.5,6.5,4,5.25,3
R_1NgNTQu369bYPQi,96.42.220.251,7/1/2016 14:51:13,7/1/2016 14:53:08,1,1,2, , , , , , , , , , , , , , , , ,7,3,7,3,4,5,4,7,0,2,0,5, , ,0,4,5, ,1, ,6,1,28,White,1, ,7,3,4,6,0,3.5,0,4,5.5,0,3.75,4.5,4.125,2.75
R_85JWp4CvwyGcCpH,107.204.64.226,7/1/2016 16:44:19,7/1/2016 16:50:32,1,1,2, , , , , , , , , , , , , , , , ,6,2,7,2,4,5,5,6,1,6,2,5, , ,1,6,5, ,1, ,5,2,24,American,1, ,6.5,2,4.5,5.5,1.5,5.5,1,6,5.5,1.25,5.75,3.75,4.75,3.375
